ticker,salary,bonus,stock_awards,option_awards,non_equity_comp,pension_change,other_comp
MCO,1000000,0,8799948,2200036,2000000,366643,21032
LSCC,711539,0,12897726,0,754965,0,16368
EVTC,816000,24960,12074000,0,1413665,0,43186
SMAR,540135,0,11896336,1521278,393627,0,7771
GPS,697159,0,11542892,0,1802511,0,313624
RIVN,759038,0,6065409,7173658,277611,0,78364
TMHC,1057692,370648,4800052,1199996,6845958,6842,69924
SYY,1296438,0,7775318,3299985,1762976,0,206303
CPRI,1350000,0,8500044,0,4320000,0,161769
RS,1225000,0,7200503,0,3750000,1484294,659476
AMEH,712308,1087500,12499943,0,0,0,11499
TW,750000,0,10126779,0,3375000,0,55879
ALHC,786539,0,12497891,0,1006837,0,5209
EPD,862125,2775000,5805000,0,0,0,4773863
TRGP,970475,2327100,10864516,0,0,0,29539
DHI,500000,0,7219367,0,6314679,95396,59900
RCM,900000,0,12240021,0,1015200,0,4155
WBA,1500000,0,10639786,0,0,0,1994404
VRNS,560000,0,13000055,0,528000,0,24924
HII,1180384,0,5799855,0,2997000,3962861,160519
CRL,1461866,0,9138724,2294372,1130074,0,71887
KVUE,1243750,1500000,9298884,5633435,2018750,0,27774
CSX,1400000,0,8000032,2000003,2415000,0,259200
ALLO,724000,0,7996888,5070365,270595,0,0
OLPX,57692,950000,7999999,5000000,0,0,20000
KIM,1000000,0,10001802,0,2923056,0,26336
IHRT,1800000,0,8000000,0,3814745,0,309948
PWSC,500000,0,12756671,0,642750,0,14850
LITE,980769,0,12528619,0,382320,0,14024
SWK,1250000,0,6937461,2312491,3071250,0,306442
RMD,1128211,0,8249986,2749989,1510264,0,230191
KW,1500000,0,8934017,0,2065500,0,1364549
BURL,1459231,0,7665192,2556440,2163000,0,15120
REXR,1000000,0,10905222,0,1925000,0,18323
EEFT,850000,0,5202163,5202097,2550000,0,12008
CCL,1250000,0,7460811,0,4650000,0,447792
MSCI,1000000,0,5500207,5500190,1449830,0,342918
BAX,1300000,0,7527469,2635170,2187900,0,136132
APA,1300000,0,9384742,0,2467400,0,611299
RUN,840384,0,11750750,0,1147500,0,11550
ESTC,600000,0,12599999,0,529078,0,11794
ELAN,1200000,0,8400005,2800003,1232400,0,30761
KD,1000000,0,10500025,0,2000000,0,155321
JNPR,1000000,0,11835849,0,787500,0,22794
CHSCL,1348088,0,0,0,10685281,1109326,458759
CDAY,800000,0,12439889,0,337320,0,14656
DAY,800000,0,12439889,0,337320,0,14656
AN,1300000,0,8315079,0,3861000,0,112738
DKS,1305769,0,9750307,0,2285096,200000,34054
AWI,981750,0,11019636,0,1436310,0,104020
RGA,1098654,0,7350004,0,3782574,959479,343720
VMC,1235000,0,6274449,1568691,4038900,0,485718
VTR,1075000,0,9598375,0,2680333,0,166917
AR,1065350,0,10770416,0,1661946,0,14751
WHR,1315000,0,6717530,3299969,841600,990731,339971
COO,1054167,0,5284866,5284986,1838203,12647,16054
RIOT,963807,0,10991245,0,1496478,0,39060
AGO,1250000,0,8112953,0,3496050,0,618509
TPH,960000,0,9099953,0,3360000,0,37190
STT,1146154,0,12149906,0,16318,0,136786
LNC,1144231,0,6510721,1534404,3845009,0,403555
SILK,105871,100000,13123059,0,93275,0,1629
NSC,1100000,0,7500059,2500272,0,2171580,147067
ENTG,1000000,0,8027272,3105097,1149200,0,124121
RXT,832192,2761798,9799570,0,0,0,9900
ALLY,1000000,4375000,7965789,0,0,0,53595
AKAM,1,0,13384974,0,0,0,0
SF,200000,2260000,10000000,0,0,0,822055
SUPN,963000,0,4760000,6675200,830588,0,49305
MUR,1067512,0,8826424,0,1522503,1779732,65670
WK,601250,0,11639648,0,915000,0,94065
FDX,1300000,250000,2251294,3712859,3998750,209016,1527904
CTVA,1341923,0,8200042,2050001,1472175,0,170731
VMW,1000000,0,10407387,0,1785962,0,16050
CEIX,1000000,1000000,3000000,0,8012309,147121,35235
TSN,1396615,0,8193338,2750006,436154,0,404006
